Checker Name,New Mexico DeLorme Challenge,,,
Link,https://coord.info/GC20CTQ,,,
State Requirement,New Mexico,,,
County Requirement,none,,,
North,South,East,West,Value Ref
36.999519,36.066669,-108.333344,-109.046181,Page 012
37,36.066669,-107.566673,-108.333344,Page 013
37.000149,36.066669,-106.800003,-107.566673,Page 014
36.995152,36.066669,-106.033333,-106.800003,Page 015
36.996021,36.066669,-105.266663,-106.033333,Page 016
36.995609,36.066669,-104.5,-105.266663,Page 017
36.998039,36.066669,-103.73333,-104.5,Page 018
37.00029,36.066669,-103.001961,-103.73333,Page 019
36.066669,35.116669,-108.333344,-109.046791,Page 020
36.066669,35.116669,-107.566673,-108.333344,Page 021
36.066669,35.116669,-106.800003,-107.566673,Page 022
36.066669,35.116669,-106.033333,-106.800003,Page 023
36.066669,35.116669,-105.266663,-106.033333,Page 024
36.066669,35.116669,-104.5,-105.266663,Page 025
36.066669,35.116669,-103.73333,-104.5,Page 026
36.066669,35.116669,-103.04081,-103.73333,Page 027
35.116669,34.166672,-108.333344,-109.046783,Page 028
35.116669,34.166672,-107.566673,-108.333344,Page 029
35.116669,34.166672,-106.800003,-107.566673,Page 030
35.116669,34.166672,-106.033333,-106.800003,Page 031
35.116669,34.166672,-105.266663,-106.033333,Page 032
35.116669,34.166672,-104.5,-105.266663,Page 033
35.116669,34.166672,-103.73333,-104.5,Page 034
35.116669,34.166672,-103.042519,-103.73333,Page 035
34.166672,33.216671,-108.333344,-109.04747,Page 036
34.166672,33.216671,-107.566673,-108.333344,Page 037
34.166672,33.216671,-106.800003,-107.566673,Page 038
34.166672,33.216671,-106.033333,-106.800003,Page 039
34.166672,33.216671,-105.266663,-106.033333,Page 040
34.166672,33.216671,-104.5,-105.266663,Page 041
34.166672,33.216671,-103.73333,-104.5,Page 042
34.166672,33.216671,-103.043282,-103.73333,Page 043
33.216671,32.26667,-108.333344,-109.047943,Page 044
33.216671,32.26667,-107.566673,-108.333344,Page 045
33.216671,32.26667,-106.800003,-107.566673,Page 046
33.216671,32.26667,-106.033333,-106.800003,Page 047
33.216671,32.26667,-105.266663,-106.033333,Page 048
33.216671,32.26667,-104.5,-105.266663,Page 049
33.216671,32.26667,-103.73333,-104.5,Page 050
33.216671,32.26667,-103.060127,-103.73333,Page 051
32.26667,31.33217,-108.333344,-109.050171,Page 052
32.26667,31.33334,-107.566673,-108.333344,Page 053
32.26667,31.78351,-106.800003,-107.566673,Page 054
32.26667,31.78315,-106.033333,-106.800003,Page 055
32.26667,32.00034,-105.266663,-106.033333,Page 056A
32.26667,31.999941,-103.73333,-104.5,Page 056B
32.26667,32.000118,-104.5,-105.266663,Page 057A
32.26667,32.000198,-103.064323,-103.73333,Page 057B
