Checker Name,Deschutes County Quadrangle Challenge,,,
Link,https://coord.info/GC2T13T,,,
State Requirement,Oregon,,,
County Requirement,Deschutes,,,
# North,South,East,West,Value Ref
44.5,44.375,-121.75,-121.875,Quad: Three Finger Jack
44.5,44.375,-121.625,-121.75,Quad: Black Butte
44.5,44.375,-121.5,-121.625,Quad: Little Squaw Back
44.5,44.375,-121.375,-121.5,Quad: Squaw Back Ridge
44.5,44.375,-121.25,-121.375,Quad: Steelhead Falls
44.5,44.375,-121.125,-121.25,Quad: Opal City
44.5,44.375,-121,-121.125,Quad: Gray Butte
44.375,44.25,-121.75,-121.875,Quad: Mt. Washington
44.375,44.25,-121.625,-121.75,Quad: Black Crater
44.375,44.25,-121.5,-121.625,Quad: Sisters
44.375,44.25,-121.375,-121.5,Quad: Henkle Butte
44.375,44.25,-121.25,-121.375,Quad: Cline Falls
44.375,44.25,-121.125,-121.25,Quad: Redmond
44.375,44.25,-121,-121.125,Quad: ONeal
44.25,44.125,-121.625,-121.75,Quad: Trout Creek Butte
44.25,44.125,-121.5,-121.625,Quad: Three Creek Butte
44.25,44.125,-121.375,-121.5,Quad: Tumalo Dam
44.25,44.125,-121.25,-121.375,Quad: Tumalo
44.25,44.125,-121.125,-121.25,Quad: Forked Horn Butte
44.25,44.125,-121,-121.125,Quad: Powell Butte
44.25,44.125,-120.875,-121,Quad: Powell Buttes
44.125,44,-121.75,-121.875,Quad: South Sister
44.125,44,-121.625,-121.75,Quad: Broken Top
44.125,44,-121.5,-121.625,Quad: Tumalo Falls
44.125,44,-121.375,-121.5,Quad: Shevlin Park
44.125,44,-121.25,-121.375,Quad: Bend
44.125,44,-121.125,-121.25,Quad: Bend Airport
44.125,44,-121,-121.125,Quad: Alfalfa
44.125,44,-120.875,-121,Quad: Horse Butte
44,43.875,-121.75,-121.875,Quad: Elk Lake
44,43.875,-121.625,-121.75,Quad: Bachelor Butte
44,43.875,-121.5,-121.625,Quad: Wanoga Butte
44,43.875,-121.375,-121.5,Quad: Benham Falls
44,43.875,-121.25,-121.375,Quad: Lava Butte
44,43.875,-121.125,-121.25,Quad: Kelsey Butte
44,43.875,-121,-121.125,Quad: Horse Ridge
44,43.875,-120.875,-121,Quad: Millican
44,43.875,-120.75,-120.875,Quad: West Butte
44,43.875,-120.625,-120.75,Quad: Brothers NW
43.875,43.75,-121.875,-122,Quad: Irish Mountain
43.875,43.75,-121.75,-121.875,Quad: Craine Prairie
43.875,43.75,-121.625,-121.75,Quad: Round Mt.
43.875,43.75,-121.5,-121.625,Quad: Pistol Butte
43.875,43.75,-121.375,-121.5,Quad: Anns Butte
43.875,43.75,-121.25,-121.375,Quad: Lava Cast Forest
43.875,43.75,-121.125,-121.25,Quad: Fuzztail Butte
43.875,43.75,-121,-121.125,Quad: Evans Well
43.875,43.75,-120.875,-121,Quad: Pine Mt.
43.875,43.75,-120.75,-120.875,Quad: Millican SE
43.875,43.75,-120.625,-120.75,Quad: Brothers SW
43.875,43.75,-120.5,-120.625,Quad: Brothers
43.875,43.75,-120.375,-120.5,Quad: Imperial Valley N
43.875,43.75,-120.25,-120.375,Quad: Hampton Butte
43.75,43.625,-121.875,-122,Quad: The Twins
43.75,43.625,-121.75,-121.875,Quad: Davis Mt.
43.75,43.625,-121.625,-121.75,Quad: Wickiup Dam
43.75,43.625,-121.5,-121.625,Quad: La Pine
43.75,43.625,-121.375,-121.5,Quad: Finley Butte
43.75,43.625,-121.25,-121.375,Quad: Paulina Peak
43.75,43.625,-121.125,-121.25,Quad: East Lake
43.75,43.625,-121,-121.125,Quad: China Hat
43.75,43.625,-120.875,-121,Quad: Firestone Butte
43.75,43.625,-120.75,-120.875,Quad: Plot Butte
43.75,43.625,-120.625,-120.75,Quad: Dickerson Flat
43.75,43.625,-120.5,-120.625,Quad: Soldiers Cap
43.75,43.625,-120.375,-120.5,Quad: Imperial Valley S
43.75,43.625,-120.25,-120.375,Quad: West of Hampton
43.75,43.625,-120.125,-120.25,Quad: Hampton
43.75,43.625,-120,-120.125,Quad: Misery Flat
43.75,43.625,-119.875,-120,Quad: Dust Bowl
43.625,43.5,-122,-122.125,Quad: Willamette Pass
43.625,43.5,-121.875,-122,Quad: Odell Lake
43.625,43.5,-121.75,-121.875,Quad: Hamner Butte
43.625,43.5,-121.625,-121.75,Quad: Cryder Butte
43.625,43.5,-121.5,-121.625,Quad: Masten Butte
43.625,43.5,-121.375,-121.5,Quad: Moffitt Butte
43.625,43.5,-121.25,-121.375,Quad: Spring Butte
43.625,43.5,-121.125,-121.25,Quad: Indian Butte
43.625,43.5,-121,-121.125,Quad: South Ice Cave
43.625,43.5,-120.875,-121,Quad: Sixteen Butte
43.625,43.5,-120.75,-120.875,Quad: Fox Butte
43.625,43.5,-120.625,-120.75,Quad: Walker Butte
43.625,43.5,-120.5,-120.625,Quad: Last Chance Lake
43.625,43.5,-120.375,-120.5,Quad: Frederick Butte
43.625,43.5,-120.25,-120.375,Quad: Benjamin Lake
43.625,43.5,-120.125,-120.25,Quad: Potato Lake
43.625,43.5,-120,-120.125,Quad: Glass Butte
43.625,43.5,-119.875,-120,Quad: Hat Butte
