Checker Name,Oregon DeLorme Challenge,,,
Link,https://coord.info/GCQKKE,,,
State Requirement,Oregon,,,
County Requirement,none,,,
# North,South,East,West,Value Ref
42.009722,41.5,-123.9375,-124.375,Page 22
42.5,41.996383,-124,-124.5,Page 17
42.5,41.996383,-123.5,-124,Page 18
42.5,42,-123,-123.5,Page 19
42.5,42,-122.5,-123,Page 20
42.5,42,-122,-122.5,Page 21
42.5,41.993333,-121.5,-122,Page 22
42.5,41.993333,-121,-121.5,Page 23
43,42.5,-124.5,-125,Page 24
43,42.5,-124,-124.5,Page 25
43,42.5,-123.5,-124,Page 26
43,42.5,-123,-123.5,Page 27
43,42.5,-122.5,-123,Page 28
43,42.5,-122,-122.5,Page 29
43,42.5,-121.5,-122,Page 30
43,42.5,-121,-121.5,Page 31
45,43.5,-124,-124.273611,Page 32
43.5,43,-124,-124.467222,Page 33
43.5,43,-123.5,-124,Page 34
43.5,43,-123,-123.5,Page 35
43.5,43,-122.5,-123,Page 36
43.5,43,-122,-122.5,Page 37
43.5,43,-121.5,-122,Page 38
43.5,43,-121,-121.5,Page 39
44,43.5,-123.5,-124,Page 40
44,43.5,-123,-123.5,Page 41
44,43.5,-122.5,-123,Page 42
44,43.5,-122,-122.5,Page 43
44,43.5,-121.5,-122,Page 44
44,43.5,-121,-121.5,Page 45
44.5,44,-123.5,-124,Page 46
44.5,44,-123,-123.5,Page 47
44.5,44,-122.5,-123,Page 48
44.5,44,-122,-122.5,Page 49
44.5,44,-121.5,-122,Page 50
44.5,44,-121,-121.5,Page 51
45,44.5,-123.5,-124,Page 52
45,44.5,-123,-123.5,Page 53
45,44.5,-122.5,-123,Page 54
45,44.5,-122,-122.5,Page 55
45,44.5,-121.5,-122,Page 56
45,44.5,-121,-121.5,Page 57
45.5,45,-123.5,-124.021116,Page 58
45.5,45,-123,-123.5,Page 59
45.5,45,-122.5,-123,Page 60
45.5,45,-122,-122.5,Page 61
45.5,45,-121.5,-122,Page 62
45.5,45,-121,-121.5,Page 63
46,45.5,-123.5,-124,Page 64
46,45.5,-123,-123.5,Page 65
46,45.5,-122.5,-123,Page 66
46,45.5,-122,-122.5,Page 67
46,45.5,-121.5,-122,Page 68
46,45.5,-121,-121.5,Page 69
46.5,46,-123.55,-124.099722,Page 70
46.26389,46,-123,-123.55,Page 71west
46.13056,46,-122.84722,-123,Page 71east
43,41.993333,-120,-121,Page 72
43,41.993333,-119,-120,Page 73
43,41.993889,-118,-119,Page 74
43,41.998611,-117,-118,Page 75
44,43,-120,-121,Page 76
44,43,-119,-120,Page 77
44,43,-117.959444,-119,Page 78
44,43,-116.926389,-117.959722,Page 79
45,44,-120,-121,Page 80
45,44,-119,-120,Page 81
45,44,-118,-119,Page 82
45,44,-117,-118,Page 83
46,45,-120,-121,Page 84
46,45,-119,-120,Page 85
46,45,-118,-119,Page 86
46,45,-117,-118,Page 87
45.99722,45,-116.45556,-117,Page 88north
45,44,-116.83056,-117,Page 88south
